NAME_city,NAME_county,F1_city,F1_county,F2_city,F2_county,F3_city,F3_county,F4_city,F4_county,F5_city,F5_county
广州市,,1773914,,5802,,13273042,,31022573,,11258940,
,Tianhe,,1162531,,2246,,8427302,,12754954,,7464208
,Huadu,,142082,,1016,,517130,,3852016,,1246085
,Panyu,,115374,,965,,1307710,,2675170,,772969
,Nansha,,217499,,578,,2238892,,3180473,,643373
,Conghua,,54891,,243,,212175,,1026861,,379099
,Zengcheng,,81537,,754,,569833,,7533099,,753206
深圳市,,1960754,,10320,,25118181,,30416518,,12805892,
,Futian,,275830,,150,,613732,,2588826,,2196447
,Shenzhen,,1568154,,6478,,20876858,,23755260,,7783075
,Baoan,,116770,,3692,,3627591,,4072432,,2826370
珠海市,,507444.55,,1388,,4511839.7,,8933618,,1611702,
,Xiangzhou,,422961,,609,,2922135.4,,5814795,,1067623
,Doumen,,84484,,264,,179953.3,,1379493,,227719
汕头市,,383463.694,,1972,,2384979,,3406530,,2484863,
,Chenghai,,58887,,415,,255978,,300305,,470056
,Haojiang,,263115.427,,659,,667924,,2550878,,917355
,Chaoyang,,27994,,424,,948228,,320821,,602578
,Chaonan,,33467.306,,474,,512849,,234526,,494874
佛山市,,777113.731,,7902,,17952418.2,,21468447,,5314347,
,Chancheng,,160529,,598,,704664.7,,3887946,,989782
,Nanhai,,107017,,3325,,5342299.9,,6743333,,1847931
,Shunde,,128400,,2427,,6432385.3,,5600128,,1708661
,Gaoming,,195313,,555,,3340888.8,,1976303,,273706
,Sanshui,,185855,,997,,2132179.5,,3260737,,494267
韶关市,,440527.614,,475,,692373.7,,1956932,,1338188,
,Zhenjiang,,44808.026,,51,,37075.5,,214032,,167246
,Wujiang,,83420.487,,64,,95043,,744572,,170099
,Qujiang,,62416,,59,,247980.8,,84724,,128664
,Lechang,,27796,,41,,3546.9,,205167,,174922
,Nanxiong,,33641,,53,,23960,,173827,,164654
,Renhua,,44045,,35,,104562.8,,118318,,95013
,Shixing,,35409,,34,,16121.9,,79853,,106623
,Wengyuan,,27615,,55,,27028.1,,189526,,149215
,Xinfeng,,31518,,27,,42531.4,,103921,,84991
,Ruyuan,,49858,,56,,94523.3,,42992,,96761
河源市,,212406.207,,567,,633892,,2588277,,1420203,
,Yuancheng,,81174,,201,,289255,,1119277,,298864
,Dongyuan,,33462,,99,,53340,,388962,,219309
,Heping,,30793,,70,,101781,,168507,,171170
,Longchuan,,23027,,82,,85380,,566764,,299418
,Zijin,,20935,,65,,69396,,244994,,277238
,Lianping,,23014,,50,,34740,,99773,,154204
梅州市,,258606.343,,474,,489533.6,,2538863,,1690153,
,Meijiang,,65225,,65,,113896,,879328,,210498
,Mei,,38654,,96,,157615,,644439,,278813
,Xingning,,17604,,66,,24540.4,,213315,,274751
,Pingyuan,,33128,,49,,24810.6,,74600,,104412
,Jiaoling,,44814,,43,,123417.5,,106893,,103062
,Dabu,,23098,,58,,21449.7,,146630,,168092
,Fengshun,,21830,,58,,20739.4,,206186,,205348
,Wuhua,,14253,,39,,3065,,267472,,345177
惠州市,,418781.773,,2764,,2983983.1,,11499441,,3182925,
,Huicheng,,86920,,928,,983810.4,,3917139,,1101599
,Huiyang,,158532,,805,,1377048.1,,4291231,,751619
,Huidong,,66615,,286,,110876.2,,1774327,,545574
,Boluo,,54021,,688,,357173.2,,1244434,,614515
,Longmen,,52693,,57,,155075.2,,272310,,169618
汕尾市,,157984.183,,244,,272102.5,,1690118,,1246658,
,Urban,,60167,,56,,123344.2,,881264,,248091
,Lufeng,,24170,,75,,68205.2,,176467,,531718
,Haifeng,,44494,,94,,59079.8,,512678,,359258
,Luhe,,29153,,19,,21473.3,,119709,,107591
东莞市,Dongguan,112507,112507,10658,10658,7732712,7732712,7965436,7965436,7111081,7111081
中山市,Zhongshan,92709,92709,3635,3635,2508276,2508276,5264100,5264100,2372094,2372094
江门市,,481265.382,,2458,,2230728.4,,7174549,,2722680,
,Jiangmen,,181478.051,,797,,749109.9,,2293556,,710632
,Xinhui,,91814,,557,,604204.7,,1589772,,564633
,Taishan,,47422,,239,,402917.9,,974372,,533298
,Kaiping,,53375,,323,,198772.1,,811270,,425611
,Heshan,,70416,,412,,241125.7,,802366,,283684
,Enping,,36761,,130,,34598.1,,703213,,204822
阳江市,,205697.639,,334,,1256338.8,,1663098,,1115300,
,Jiangchen,,65021,,120,,284115.5,,830247,,336418
,Yangdong,,64679,,117,,619133.5,,229879,,246005
,Yangchun,,36456,,58,,255134.1,,275388,,343112
,Yangxi,,39541,,39,,97955.7,,327584,,189765
湛江市,,488702.649,,870,,1924718,,4499918,,3695681,
,Chikan,,99439,,29,,91541,,944970,,176810
,Xiashan,,78020,,56,,138467,,486587,,260888
,Mazhang,,72555,,106,,468029,,408140,,205385
,Potou,,90161,,73,,1042432,,532707,,207388
,Leizhou,,21644,,78,,18457,,273959,,785254
,Lianjiang,,32636,,238,,68948,,443358,,724685
,Wuchuan,,27927,,156,,33470,,817409,,449785
,Suixi,,40349,,101,,27831,,320684,,507898
,Xuwen,,25971,,33,,35543,,272104,,377588
茂名市,,264959.573,,810,,1363284,,3066725,,3236329,
,Maonan,,88816,,120,,774145,,605237,,564216
,Dianbai,,42152,,225,,220468,,1019808,,796741
,Xinyi,,47385,,98,,41697,,295950,,526829
,Gaozhou,,44449,,232,,276489,,751014,,694338
,Huazhou,,42158,,135,,50485,,394716,,654205
肇庆市,,442985.038,,1269,,1916293,,4567884,,2236482,
,Tuanzhou,,151315,,208,,206364,,1864852,,395410
,Gaoyao,,52702,,323,,663468,,638047,,468657
,Sihui,,98423,,486,,594802,,1516698,,294448
,Guangning,,35861,,80,,166926,,155834,,250727
,Deqing,,41736,,86,,69878,,28778,,196004
,Fengkai,,36008,,26,,179179,,30195,,218072
,Huaiji,,26939,,60,,35676,,333480,,413164
清远市,,328568.743,,772,,1344023,,4246373,,2011301,
,Qingcheng,,71643,,310,,439197,,2775516,,511816
,Qingxin,,37199,,132,,214055,,402048,,350495
,Yingde,,33077,,162,,437344,,550381,,500497
,Lianzhou,,40357,,45,,77900,,114945,,180170
,Fogang,,39963,,93,,150485,,267863,,156258
,Yangshan,,30826,,17,,15698,,102543,,164911
,Lianshan,,36008,,5,,5332,,25389,,58299
,Liannan,,39496,,8,,4012,,7688,,88855
潮州市,,121168.485,,936,,845948,,914998,,1092641,
,Xiangqiao,,44361,,141,,85088,,549800,,211415
,Chaoan,,46122,,662,,560772,,231554,,538267
,Raoping,,30686,,133,,200088,,133644,,342959
揭阳市,,178828,,1393,,1450759,,1720441,,1982274,
,Rongcheng,,55566,,496,,284959,,717392,,433813
,Jiedong,,45157,,407,,409407,,271818,,317839
,Puning,,29674,,304,,380660,,599597,,701771
,Jiexi,,27031,,78,,261892,,43635,,248723
,Huilai,,21400,,108,,113841,,87999,,280128
云浮市,,194342.325,,355,,418656,,1251806,,1242926,
,Yuncheng,,53600,,81,,53904,,334632,,180780
,Yun'an,,34752,,64,,144439,,67056,,137855
,Luoding,,26351,,75,,140841,,283626,,463725
,Xinxing,,51568,,84,,62861,,390596,,249401
,Yunan,,28072,,51,,16611,,175896,,211165
